iter	Passed	Remaining
0	0	68
1	1	52
2	1	47
3	1	45
4	2	44
5	2	43
6	3	42
7	3	41
8	4	41
9	4	40
10	4	39
11	5	39
12	5	38
13	6	37
14	6	37
15	7	36
16	7	36
17	7	36
18	8	35
19	8	35
20	9	34
21	9	34
22	10	33
23	10	33
24	10	32
25	11	32
26	12	32
27	12	32
28	13	31
29	13	31
30	13	30
31	14	30
32	14	29
33	15	29
34	15	28
35	15	28
36	16	27
37	16	27
38	16	26
39	17	26
40	17	25
41	18	25
42	18	24
43	19	24
44	19	24
45	20	23
46	20	23
47	21	22
48	21	22
49	22	22
50	22	21
51	22	21
52	23	20
53	23	20
54	24	19
55	24	19
56	25	18
57	25	18
58	26	18
59	26	17
60	27	17
61	27	16
62	28	16
63	28	15
64	28	15
65	29	15
66	29	14
67	30	14
68	30	13
69	31	13
70	31	12
71	32	12
72	32	12
73	33	11
74	33	11
75	34	10
76	34	10
77	35	9
78	35	9
79	35	8
80	36	8
81	36	8
82	37	7
83	37	7
84	37	6
85	38	6
86	38	5
87	39	5
88	39	4
89	40	4
90	40	4
91	41	3
92	41	3
93	42	2
94	42	2
95	43	1
96	43	1
97	44	0
98	44	0
99	45	0
